,ObservationDate,total_infected,total_dead,total_recovered,deaths_per_day,infected_per_day,recovered_per_day,infected
35,2020-04-06,2491.0,209.0,192.0,11.0,218.0,28.0,2090.0
36,2020-04-07,2738.0,221.0,204.0,12.0,247.0,12.0,2313.0
37,2020-04-08,2956.0,240.0,222.0,19.0,218.0,18.0,2494.0
38,2020-04-09,3293.0,280.0,252.0,40.0,337.0,30.0,2761.0
39,2020-04-10,3512.0,306.0,282.0,26.0,219.0,30.0,2924.0
40,2020-04-11,3842.0,327.0,286.0,21.0,330.0,4.0,3229.0
41,2020-04-12,4241.0,373.0,359.0,46.0,399.0,73.0,3509.0
42,2020-04-13,4557.0,399.0,380.0,26.0,316.0,21.0,3778.0
43,2020-04-14,4839.0,459.0,426.0,60.0,282.0,46.0,3954.0
44,2020-04-15,5136.0,469.0,446.0,10.0,297.0,20.0,4221.0
45,2020-04-16,5516.0,496.0,548.0,27.0,380.0,102.0,4472.0
46,2020-04-17,5923.0,520.0,607.0,24.0,407.0,59.0,4796.0
47,2020-04-18,6248.0,535.0,631.0,15.0,325.0,24.0,5082.0
48,2020-04-19,6575.0,582.0,686.0,47.0,327.0,55.0,5307.0
49,2020-04-20,6760.0,590.0,747.0,8.0,185.0,61.0,5423.0
50,2020-04-21,7135.0,616.0,842.0,26.0,375.0,95.0,5677.0
51,2020-04-22,7418.0,635.0,913.0,19.0,283.0,71.0,5870.0
52,2020-04-23,7775.0,647.0,960.0,12.0,357.0,47.0,6168.0
53,2020-04-24,8211.0,689.0,1002.0,42.0,436.0,42.0,6520.0
54,2020-04-25,8607.0,720.0,1042.0,31.0,396.0,40.0,6845.0
55,2020-04-26,8882.0,743.0,1107.0,23.0,275.0,65.0,7032.0
56,2020-04-27,9096.0,765.0,1151.0,22.0,214.0,44.0,7180.0
57,2020-04-28,9511.0,773.0,1254.0,8.0,415.0,103.0,7484.0
58,2020-04-29,9771.0,784.0,1391.0,11.0,260.0,137.0,7596.0
